certificationName,certificationLink,issued,credentialId,issuedBy
Intermediate SQL Queries,https://www.datacamp.com/statement-of-accomplishment/course/5c25d131771fab490aa41da665c898bb42910f4d?raw=1,November 2023,5c25d131771fab490aa41da665c898bb42910f4d,DataCamp
Joining Data in SQL,https://www.datacamp.com/statement-of-accomplishment/course/5c25d131771fab490aa41da665c898bb42910f4d?raw=1,November 2023,3cfafc4aa3be213a0b52dde6cb7272ae418993e5,DataCamp
Modern React with Redux,https://www.udemy.com/certificate/UC-7a607fa6-b35f-41c9-babf-f2ef1ca4e57a/,July 2023,UC-7a607fa6-b35f-41c9-babf-f2ef1ca4e57a,Udemy
"MongoDB Node.js Developer Path ",https://learn.mongodb.com/c/ajxrqazNRW6V5TSlHKRh3A,February 2023,MDBzs8kf2hwh8,MongoDB
Namaste React Live Course,https://learn.namastedev.com/share-certificate?serialno=NZ2FAOCC,February 2023,NZ2FAOCC,NamasteDev.com
JavaScript Algorithms and Data Structures,https://freecodecamp.org/certification/fccc7942640-e76d-4d5a-81c7-179c91b532fe/javascript-algorithms-and-data-structures,December 2021,fccc7942640-e76d-4d5a-81c7-179c91b532fe,FreeCodeCamp
Responsive Web Design,https://freecodecamp.org/certification/fccc7942640-e76d-4d5a-81c7-179c91b532fe/responsive-web-design,June 2021,fccc7942640-e76d-4d5a-81c7-179c91b532fe,FreeCodeCamp
